# 共振峰分析结果
# 文件名,record2.wav
# 分析时间,2025-09-06 14:42:12

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.595495450916015
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),141.78 - 1941.00
平均频率 (Hz),1056.58
频率标准差 (Hz),594.35
声压级范围 (dB SPL),-29.4 - -19.8
平均声压级 (dB SPL),-26.2
声压级标准差 (dB SPL),2.6
主导峰值频率 (Hz),249.56
主导峰值声压级 (dB SPL),-19.8

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,141.778,-24.21,45.85,1276
2,201.778,-22.55,44.79,1816
3,249.556,-19.85,65.85,2246
4,605.556,-23.32,46.49,5450
5,641.444,-27.19,47.36,5773
6,807.333,-28.86,52.95,7266
7,934.667,-27.65,58.51,8412
8,1071.333,-27.94,49.45,9642
9,1127.111,-26.05,60.58,10144
10,1331.444,-29.40,46.17,11983
11,1448.889,-29.08,52.87,13040
12,1656.889,-27.99,54.61,14912
13,1785.889,-26.23,56.88,16073
14,1904.000,-26.87,46.55,17136
15,1941.000,-26.46,67.96,17469
