directory,filename,file_path,sample_rate,duration_seconds,channels,bit_depth,total_samples,file_size_bytes,file_size_kb,analysis_timestamp
S1R1,record1.wav,data/S1R1/record1.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131932
S1R1,record2.wav,data/S1R1/record2.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131943
S1R1,record3.wav,data/S1R1/record3.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131944
S1R2,record1.wav,data/S1R2/record1.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131945
S1R2,record2.wav,data/S1R2/record2.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131946
S1R2,record3.wav,data/S1R2/record3.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131948
S1R3,record1.wav,data/S1R3/record1.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131950
S1R3,record2.wav,data/S1R3/record2.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131951
S1R3,record3.wav,data/S1R3/record3.wav,48000,9.0,1,32,432000,1728512,1688.0,2025-09-06T11:13:19.131952
S2R4,record1.wav,data/S2R4/record1.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131953
S2R4,record2.wav,data/S2R4/record2.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131953
S2R4,record3.wav,data/S2R4/record3.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131954
S2R5,record1.wav,data/S2R5/record1.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131955
S2R5,record2.wav,data/S2R5/record2.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131956
S2R5,record3.wav,data/S2R5/record3.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131957
S2R6,record1.wav,data/S2R6/record1.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131957
S2R6,record2.wav,data/S2R6/record2.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131958
S2R6,record3.wav,data/S2R6/record3.wav,48000,8.0,1,32,384000,1536512,1500.5,2025-09-06T11:13:19.131959
