# 共振峰分析结果
# 文件名,record3.wav
# 分析时间,2025-09-13 09:45:39

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.393881465033743
最大峰值数,25

# 统计信息
检测到的峰值总数,25
频率范围 (Hz),167.50 - 1983.75
平均频率 (Hz),974.40
频率标准差 (Hz),565.53
声压级范围 (dB SPL),-29.4 - -19.5
平均声压级 (dB SPL),-25.6
声压级标准差 (dB SPL),2.8
主导峰值频率 (Hz),167.50
主导峰值声压级 (dB SPL),-19.5

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,167.500,-19.51,54.58,1340
2,254.000,-20.69,38.36,2032
3,303.625,-20.62,46.65,2429
4,399.125,-24.76,34.37,3193
5,417.500,-22.26,41.05,3340
6,447.375,-24.93,33.97,3579
7,458.125,-24.82,39.19,3665
8,528.125,-26.89,43.29,4225
9,560.750,-28.17,40.60,4486
10,649.125,-21.87,52.12,5193
11,712.250,-22.69,43.81,5698
12,780.500,-29.18,37.53,6244
13,953.500,-27.67,42.45,7628
14,1003.500,-27.84,41.23,8028
15,1042.500,-26.83,54.00,8340
16,1059.750,-27.96,42.33,8478
17,1176.000,-29.38,47.43,9408
18,1290.625,-28.87,54.35,10325
19,1354.375,-26.45,41.65,10835
20,1399.125,-25.69,55.98,11193
21,1769.125,-27.15,48.19,14153
22,1867.500,-25.87,50.16,14940
23,1884.000,-26.27,40.75,15072
24,1898.375,-29.07,41.79,15187
25,1983.750,-23.77,61.75,15870
